<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GHESHESFA,d,20040204,000000,58,58,57,57,3010
GHESHESFA,d,20040207,000000,59,59,57,57,10266
GHESHESFA,d,20040208,000000,58,59,58,59,191615
GHESHESFA,d,20040209,000000,59,59,58,59,2845
GHESHESFA,d,20040214,000000,59,59,59,59,410
GHESHESFA,d,20040215,000000,59,59,58,59,2255
GHESHESFA,d,20040216,000000,59,59,59,59,2157
GHESHESFA,d,20040218,000000,59,59,59,59,400000
GHESHESFA,d,20040221,000000,59,59,59,59,20035
GHESHESFA,d,20040229,000000,59,59,59,59,3774
GHESHESFA,d,20040307,000000,58,58,56,56,34830
GHESHESFA,d,20040309,000000,56,56,56,56,13944
GHESHESFA,d,20040310,000000,56,56,56,56,3096
GHESHESFA,d,20040426,000000,56,56,56,56,12229
GHESHESFA,d,20040501,000000,54,56,54,56,5236
GHESHESFA,d,20040502,000000,56,56,56,56,4745
GHESHESFA,d,20040503,000000,56,56,56,56,52
GHESHESFA,d,20040504,000000,56,56,56,56,2000
GHESHESFA,d,20040505,000000,56,56,56,56,47839
GHESHESFA,d,20040509,000000,56,56,56,56,130
GHESHESFA,d,20040515,000000,56,56,56,56,2625
GHESHESFA,d,20040518,000000,56,56,56,56,1342
GHESHESFA,d,20040519,000000,56,56,56,56,11210
GHESHESFA,d,20040615,000000,57,57,57,57,500
GHESHESFA,d,20040616,000000,57,57,57,57,175
GHESHESFA,d,20040619,000000,57,57,57,57,3248
GHESHESFA,d,20040620,000000,57,57,57,57,1010
GHESHESFA,d,20040621,000000,58,58,57,57,510
GHESHESFA,d,20040622,000000,57,57,57,57,6384
GHESHESFA,d,20040623,000000,57,57,57,57,5050
GHESHESFA,d,20040626,000000,57,57,57,57,29597
GHESHESFA,d,20040627,000000,55,57,55,57,2010
GHESHESFA,d,20040630,000000,57,57,57,57,3677
GHESHESFA,d,20040703,000000,57,57,57,57,580
GHESHESFA,d,20040706,000000,56,57,56,57,30
GHESHESFA,d,20040710,000000,56,57,56,56,211926
GHESHESFA,d,20040713,000000,56,56,56,56,1500
GHESHESFA,d,20040714,000000,56,56,56,56,2109
GHESHESFA,d,20040717,000000,56,56,56,56,4000
GHESHESFA,d,20040718,000000,56,56,56,56,5000
GHESHESFA,d,20040719,000000,56,56,56,56,820
GHESHESFA,d,20040720,000000,56,56,56,56,1742
GHESHESFA,d,20040725,000000,56,56,56,56,17490
GHESHESFA,d,20040726,000000,56,56,56,56,2010
GHESHESFA,d,20040727,000000,56,56,56,56,43533
GHESHESFA,d,20040728,000000,56,56,56,56,3597
GHESHESFA,d,20040731,000000,56,56,56,56,4163
GHESHESFA,d,20040801,000000,56,57,56,56,8412
GHESHESFA,d,20040803,000000,56,56,56,56,2135
GHESHESFA,d,20040804,000000,56,56,56,56,29314
GHESHESFA,d,20040807,000000,56,56,56,56,11143
GHESHESFA,d,20040808,000000,56,56,56,56,1020
GHESHESFA,d,20040912,000000,56,56,56,56,47815
GHESHESFA,d,20040925,000000,55,56,55,56,129449
GHESHESFA,d,20040926,000000,56,56,56,56,51332
GHESHESFA,d,20040928,000000,56,56,56,56,1133
GHESHESFA,d,20041002,000000,56,56,56,56,277
GHESHESFA,d,20041018,000000,53,55,53,55,16690
GHESHESFA,d,20041019,000000,55,55,55,55,16980
GHESHESFA,d,20041023,000000,55,55,55,55,10910
GHESHESFA,d,20041025,000000,55,55,55,55,7760
GHESHESFA,d,20041027,000000,54,55,54,55,9760
GHESHESFA,d,20041030,000000,54,55,54,55,11610
GHESHESFA,d,20041031,000000,54,55,54,55,2810
GHESHESFA,d,20041103,000000,54,54,54,54,94638
GHESHESFA,d,20041109,000000,56,56,52,54,9173
GHESHESFA,d,20041110,000000,56,56,56,56,50000
GHESHESFA,d,20041113,000000,56,56,56,56,58200
GHESHESFA,d,20041115,000000,56,61,56,56,1807000
GHESHESFA,d,20041116,000000,56,56,56,56,4604
GHESHESFA,d,20041120,000000,56,56,56,56,20401
GHESHESFA,d,20041121,000000,56,56,56,56,660
GHESHESFA,d,20041122,000000,56,56,56,56,543
GHESHESFA,d,20041128,000000,56,56,56,56,1000
GHESHESFA,d,20041129,000000,56,56,56,56,4090
GHESHESFA,d,20041130,000000,56,56,56,56,2749
GHESHESFA,d,20041201,000000,56,56,56,56,2304
GHESHESFA,d,20041205,000000,56,56,56,56,710
GHESHESFA,d,20041206,000000,56,56,56,56,53950
GHESHESFA,d,20041211,000000,56,56,56,56,584
GHESHESFA,d,20041212,000000,56,56,56,56,33010
GHESHESFA,d,20041214,000000,56,56,56,56,20294
GHESHESFA,d,20041215,000000,56,56,56,56,50000
GHESHESFA,d,20041218,000000,56,56,56,56,1420
GHESHESFA,d,20041221,000000,56,56,56,56,4030
GHESHESFA,d,20041226,000000,56,56,56,56,9106
GHESHESFA,d,20041227,000000,57,57,56,56,7010
GHESHESFA,d,20041228,000000,56,56,56,56,8010
GHESHESFA,d,20050102,000000,56,56,56,56,2010
GHESHESFA,d,20050104,000000,56,56,56,56,11480
GHESHESFA,d,20050105,000000,56,56,56,56,10010
GHESHESFA,d,20050108,000000,56,56,56,56,60010
GHESHESFA,d,20050109,000000,57,57,56,56,20010
GHESHESFA,d,20050112,000000,57,57,57,57,29307
GHESHESFA,d,20050115,000000,56,57,56,57,10010
GHESHESFA,d,20050116,000000,57,57,57,57,142556
GHESHESFA,d,20050117,000000,56,56,56,56,20010
GHESHESFA,d,20050123,000000,56,57,56,56,57249
GHESHESFA,d,20050125,000000,57,57,57,57,40010
GHESHESFA,d,20050126,000000,57,57,57,57,50732
GHESHESFA,d,20050130,000000,57,57,57,57,5010
GHESHESFA,d,20050131,000000,57,57,57,57,36306
GHESHESFA,d,20050202,000000,57,57,57,57,21010
GHESHESFA,d,20050206,000000,57,57,57,57,942
GHESHESFA,d,20050208,000000,57,57,57,57,8676
GHESHESFA,d,20050216,000000,57,57,57,57,105000
GHESHESFA,d,20050221,000000,57,57,57,57,15667
GHESHESFA,d,20050222,000000,57,57,57,57,512
GHESHESFA,d,20050223,000000,57,57,57,57,1510
GHESHESFA,d,20050226,000000,57,57,57,57,20842
GHESHESFA,d,20050227,000000,57,57,57,57,440
GHESHESFA,d,20050302,000000,57,57,57,57,42210
GHESHESFA,d,20050305,000000,57,57,57,57,510
GHESHESFA,d,20050308,000000,57,57,57,57,40010
GHESHESFA,d,20050312,000000,57,57,57,57,3629
GHESHESFA,d,20050314,000000,57,57,57,57,3010
GHESHESFA,d,20050315,000000,57,57,57,57,26218
GHESHESFA,d,20050316,000000,57,57,57,57,5010
GHESHESFA,d,20050404,000000,57,57,57,57,20030
GHESHESFA,d,20050411,000000,57,57,57,57,12615
GHESHESFA,d,20050413,000000,57,57,57,57,40572
GHESHESFA,d,20050416,000000,57,57,57,57,10010
GHESHESFA,d,20050417,000000,57,57,57,57,5338
GHESHESFA,d,20050418,000000,57,57,57,57,276
GHESHESFA,d,20050423,000000,57,57,57,57,100010
GHESHESFA,d,20050427,000000,57,57,57,57,30010
GHESHESFA,d,20050502,000000,57,57,57,57,27285
GHESHESFA,d,20050503,000000,57,57,57,57,10283
GHESHESFA,d,20050507,000000,57,57,57,57,689
GHESHESFA,d,20050508,000000,57,57,57,57,20010
GHESHESFA,d,20050510,000000,57,57,57,57,425
GHESHESFA,d,20050511,000000,57,57,57,57,6010
GHESHESFA,d,20050514,000000,57,57,57,57,5010
GHESHESFA,d,20050515,000000,57,57,57,57,20287
GHESHESFA,d,20050516,000000,57,57,57,57,12077
GHESHESFA,d,20050517,000000,57,57,57,57,2302
GHESHESFA,d,20050518,000000,57,57,57,57,120000
GHESHESFA,d,20050521,000000,57,57,57,57,57672
GHESHESFA,d,20050522,000000,57,57,57,57,319
GHESHESFA,d,20050523,000000,57,57,57,57,6836
GHESHESFA,d,20050627,000000,62,63,62,63,1293
GHESHESFA,d,20050628,000000,63,63,63,63,20010
GHESHESFA,d,20050629,000000,63,63,63,63,284
GHESHESFA,d,20050702,000000,63,63,63,63,20000
GHESHESFA,d,20050703,000000,59,63,59,63,155
GHESHESFA,d,20050705,000000,62,63,62,63,10490
GHESHESFA,d,20050706,000000,63,63,63,63,415
GHESHESFA,d,20050709,000000,59,63,59,63,210
GHESHESFA,d,20050711,000000,62,62,62,62,20574
GHESHESFA,d,20050712,000000,62,62,62,62,104688
GHESHESFA,d,20050713,000000,61,62,61,62,1010
GHESHESFA,d,20050719,000000,62,62,62,62,20010
GHESHESFA,d,20050726,000000,62,62,62,62,289
GHESHESFA,d,20050802,000000,60,62,60,62,1010
GHESHESFA,d,20050803,000000,61,62,61,62,37626
GHESHESFA,d,20050806,000000,65,65,65,65,48294
GHESHESFA,d,20050807,000000,69,69,66,66,5033
GHESHESFA,d,20050808,000000,69,69,68,68,31412
GHESHESFA,d,20050809,000000,71,71,69,69,20437
GHESHESFA,d,20050810,000000,73,73,72,72,68127
GHESHESFA,d,20050813,000000,72,72,72,72,21859
GHESHESFA,d,20050814,000000,72,72,72,72,32558
GHESHESFA,d,20050815,000000,72,72,71,72,37719
GHESHESFA,d,20050816,000000,72,75,71,72,20298
GHESHESFA,d,20050817,000000,72,72,72,72,510
