<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FEROS,d,20020914,000000,2,2,2,2,17215
FEROS,d,20020917,000000,2,2,2,2,95
FEROS,d,20020918,000000,2,2,2,2,1256
FEROS,d,20020924,000000,2,2,2,2,1000
FEROS,d,20020930,000000,2,2,2,2,211617
FEROS,d,20021002,000000,2,2,2,2,16559
FEROS,d,20021008,000000,2,2,2,2,69371
FEROS,d,20021012,000000,2,2,2,2,810
FEROS,d,20021014,000000,2,2,2,2,63909
FEROS,d,20021015,000000,2,2,2,2,103317
FEROS,d,20021016,000000,2,2,2,2,2143
FEROS,d,20021020,000000,2,2,2,2,12510
FEROS,d,20021021,000000,2,2,2,2,228171
FEROS,d,20021026,000000,2,2,2,2,49965
FEROS,d,20021106,000000,2,2,2,2,6000
FEROS,d,20021109,000000,2,2,2,2,16000
FEROS,d,20021111,000000,2,2,2,2,3000
FEROS,d,20021113,000000,2,2,2,2,19613
FEROS,d,20021118,000000,2,2,2,2,1958
FEROS,d,20021123,000000,2,2,2,2,1305
FEROS,d,20021202,000000,2,2,2,2,25528
FEROS,d,20021204,000000,2,2,2,2,1958
FEROS,d,20021209,000000,2,2,2,2,6430
FEROS,d,20021214,000000,2,2,2,2,147
FEROS,d,20021217,000000,2,2,2,2,5000
FEROS,d,20021218,000000,2,2,2,2,5000
FEROS,d,20021221,000000,2,2,2,2,2000
FEROS,d,20030108,000000,2,2,2,2,440
FEROS,d,20030111,000000,2,2,2,2,4996
FEROS,d,20030118,000000,2,2,2,2,63427
FEROS,d,20030120,000000,2,2,2,2,10000
FEROS,d,20030121,000000,2,2,2,2,10100
FEROS,d,20030122,000000,2,2,2,2,5829
FEROS,d,20030126,000000,2,2,2,2,12977
FEROS,d,20030129,000000,2,2,2,2,141077
FEROS,d,20030201,000000,2,2,2,2,10000
FEROS,d,20030202,000000,2,2,2,2,10000
FEROS,d,20030225,000000,2,2,2,2,76242
FEROS,d,20030301,000000,2,2,2,2,18355
FEROS,d,20030304,000000,2,2,2,2,35270
FEROS,d,20030316,000000,2,2,2,2,1545
FEROS,d,20030329,000000,2,2,2,2,7676
FEROS,d,20030405,000000,2,2,2,2,425
FEROS,d,20030407,000000,2,2,2,2,143251
FEROS,d,20030409,000000,2,2,2,2,10899
FEROS,d,20030415,000000,2,2,2,2,1000
FEROS,d,20030504,000000,2,2,2,2,81471
FEROS,d,20030513,000000,2,2,2,2,45900
FEROS,d,20030514,000000,2,2,2,2,1000
FEROS,d,20030524,000000,2,2,2,2,7749
FEROS,d,20030607,000000,2,2,2,2,20
FEROS,d,20030629,000000,2,2,2,2,5744
FEROS,d,20030630,000000,2,2,2,2,40399
FEROS,d,20030701,000000,2,2,2,2,39500
FEROS,d,20030707,000000,2,2,2,2,508
FEROS,d,20030708,000000,2,2,2,2,127
FEROS,d,20030713,000000,2,2,2,2,2500
FEROS,d,20030714,000000,2,2,2,2,6865
FEROS,d,20030715,000000,2,2,2,2,10000
FEROS,d,20030716,000000,2,2,2,2,12459
FEROS,d,20030729,000000,2,2,2,2,1312
FEROS,d,20030820,000000,2,2,2,2,10000
FEROS,d,20030825,000000,2,2,2,2,12672
FEROS,d,20030827,000000,2,2,2,2,5714
FEROS,d,20030830,000000,2,2,2,2,30594
FEROS,d,20030908,000000,2,2,2,2,110
FEROS,d,20030909,000000,2,2,2,2,8000
FEROS,d,20030913,000000,2,2,2,2,7098
FEROS,d,20030927,000000,2,2,2,2,3196
FEROS,d,20030930,000000,2,2,2,2,1814
FEROS,d,20031001,000000,2,2,2,2,25000
FEROS,d,20031005,000000,2,2,2,2,266839
FEROS,d,20031011,000000,2,2,2,2,155
FEROS,d,20031019,000000,2,2,2,2,32044
FEROS,d,20031029,000000,2,2,2,2,16416
FEROS,d,20031104,000000,2,2,2,2,686437
