<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GHEBAHAR,d,20191030,000000,13107,13219,12473,12971,1290284
GHEBAHAR,d,20191102,000000,12968,13107,12572,12869,324962
GHEBAHAR,d,20191103,000000,12880,12937,12493,12683,221378
GHEBAHAR,d,20191104,000000,12587,12794,12397,12399,202870
GHEBAHAR,d,20191105,000000,12377,12775,12303,12492,115378
GHEBAHAR,d,20191109,000000,12303,12795,12276,12397,80196
GHEBAHAR,d,20191110,000000,12397,12662,12106,12392,400637
GHEBAHAR,d,20191111,000000,12613,12617,12165,12617,1654966
GHEBAHAR,d,20191112,000000,12917,12976,12682,12976,938406
GHEBAHAR,d,20191113,000000,13363,13363,12585,12585,243147
GHEBAHAR,d,20191116,000000,12871,12961,12640,12640,255256
GHEBAHAR,d,20191117,000000,12270,12270,12270,12270,13857
GHEBAHAR,d,20191118,000000,11902,12209,11902,11905,274732
GHEBAHAR,d,20191119,000000,12018,12266,11739,11830,656306
GHEBAHAR,d,20191120,000000,12418,12418,12284,12306,475064
GHEBAHAR,d,20191123,000000,12761,12761,12212,12394,535278
GHEBAHAR,d,20191124,000000,12492,12549,12209,12467,767981
GHEBAHAR,d,20191125,000000,12474,12722,12473,12722,742881
GHEBAHAR,d,20191126,000000,13042,13042,12618,12634,463290
GHEBAHAR,d,20191127,000000,12965,12965,12397,12733,416344
GHEBAHAR,d,20191130,000000,13112,13112,13041,13112,1021722
GHEBAHAR,d,20191201,000000,13501,13502,13248,13499,730674
GHEBAHAR,d,20191202,000000,13820,13821,13016,13821,1082916
GHEBAHAR,d,20191203,000000,14162,14162,13555,14148,923701
GHEBAHAR,d,20191204,000000,14520,14520,13926,13987,602799
GHEBAHAR,d,20191207,000000,14432,14476,13794,13989,938573
GHEBAHAR,d,20191208,000000,13870,14193,13486,13694,610670
GHEBAHAR,d,20191209,000000,13440,14176,13440,14176,1252125
GHEBAHAR,d,20191210,000000,14552,14552,14006,14006,591378
GHEBAHAR,d,20191211,000000,13894,14479,13894,13897,450383
GHEBAHAR,d,20191214,000000,14337,14451,13907,14451,1217879
GHEBAHAR,d,20191215,000000,14841,14841,14129,14366,541363
GHEBAHAR,d,20191216,000000,14478,14858,14024,14858,1412855
GHEBAHAR,d,20191217,000000,14952,14952,14575,14621,510688
GHEBAHAR,d,20191218,000000,15233,15233,14399,14741,500823
GHEBAHAR,d,20191221,000000,14933,14933,14202,14620,485811
GHEBAHAR,d,20191222,000000,14998,14998,14195,14479,472757
GHEBAHAR,d,20191223,000000,14574,14574,14024,14276,592748
GHEBAHAR,d,20191224,000000,13824,14479,13817,14194,386906
GHEBAHAR,d,20191225,000000,14016,14581,13734,14581,4720528
GHEBAHAR,d,20191228,000000,15013,15013,15013,15013,1856528
GHEBAHAR,d,20191229,000000,15463,15463,15047,15463,3714891
GHEBAHAR,d,20191230,000000,16046,16187,15711,16187,2409392
GHEBAHAR,d,20191231,000000,16639,16639,15772,16639,1995186
GHEBAHAR,d,20200101,000000,16946,16946,16656,16946,799377
GHEBAHAR,d,20200104,000000,16435,16435,16435,16435,54863
GHEBAHAR,d,20200105,000000,15942,16372,15942,15942,1546289
GHEBAHAR,d,20200107,000000,15477,15647,15477,15477,614096
GHEBAHAR,d,20200108,000000,15168,15168,15168,15168,9205
GHEBAHAR,d,20200111,000000,15471,15471,15471,15471,58174
GHEBAHAR,d,20200112,000000,15935,15935,15472,15935,3058639
GHEBAHAR,d,20200113,000000,16273,16273,15393,15757,1572442
GHEBAHAR,d,20200114,000000,15965,15965,15346,15569,1452198
GHEBAHAR,d,20200115,000000,15494,15958,15049,15925,1128516
GHEBAHAR,d,20200118,000000,16305,16305,16099,16305,1740257
GHEBAHAR,d,20200119,000000,16751,16786,15899,16786,735830
GHEBAHAR,d,20200120,000000,17103,17103,17103,17103,129976
GHEBAHAR,d,20200121,000000,17616,17616,17616,17616,568650
GHEBAHAR,d,20200122,000000,18144,18144,17403,18144,1865024
GHEBAHAR,d,20200125,000000,18907,18910,18267,18910,696110
GHEBAHAR,d,20200126,000000,19432,19432,18408,18417,1713943
GHEBAHAR,d,20200127,000000,18596,18908,18594,18594,1217175
GHEBAHAR,d,20200128,000000,18454,19174,18057,19174,5997619
GHEBAHAR,d,20200201,000000,19617,19617,19617,19617,263185
GHEBAHAR,d,20200202,000000,20205,20205,19030,19030,4382169
GHEBAHAR,d,20200203,000000,19116,19792,19083,19590,2634966
GHEBAHAR,d,20200204,000000,19400,19737,18677,18677,2122576
GHEBAHAR,d,20200205,000000,18681,19116,18509,18833,1317343
GHEBAHAR,d,20200208,000000,18833,18926,18024,18079,1895843
GHEBAHAR,d,20200209,000000,17526,18432,17526,17885,1570793
GHEBAHAR,d,20200210,000000,18407,18407,17335,18208,1858590
GHEBAHAR,d,20200212,000000,18501,18501,17508,17931,866165
GHEBAHAR,d,20200215,000000,18546,18581,17697,18581,1398768
GHEBAHAR,d,20200216,000000,18875,18875,18875,18875,194149
GHEBAHAR,d,20200217,000000,19441,19441,18309,18359,2110132
GHEBAHAR,d,20200218,000000,18927,18927,18206,18213,1071845
GHEBAHAR,d,20200219,000000,18880,18880,18001,18834,1254436
GHEBAHAR,d,20200222,000000,18083,19200,18083,19018,1376257
GHEBAHAR,d,20200223,000000,19388,19389,18643,18870,1500902
GHEBAHAR,d,20200224,000000,19453,19453,18454,18768,1745654
GHEBAHAR,d,20200225,000000,19069,19475,18795,19475,3385619
GHEBAHAR,d,20200226,000000,19769,19769,19022,19211,1765495
GHEBAHAR,d,20200229,000000,18989,18989,18989,18989,257660
GHEBAHAR,d,20200301,000000,18420,18979,18420,18644,2857702
GHEBAHAR,d,20200302,000000,19022,19079,18327,19079,2633512
GHEBAHAR,d,20200303,000000,19372,19373,19211,19373,2027258
GHEBAHAR,d,20200304,000000,19929,19929,18927,19135,1277519
GHEBAHAR,d,20200307,000000,18951,18951,18758,18758,421953
GHEBAHAR,d,20200309,000000,18523,18523,18523,18523,212685
GHEBAHAR,d,20200310,000000,18403,18403,18403,18403,147853
GHEBAHAR,d,20200311,000000,17942,18642,17942,18407,1492843
GHEBAHAR,d,20200314,000000,17564,18549,17546,17546,363167
GHEBAHAR,d,20200315,000000,17418,18216,17418,17419,385993
GHEBAHAR,d,20200316,000000,18162,18162,17228,17763,546437
GHEBAHAR,d,20200317,000000,17980,17980,17042,17562,744719
GHEBAHAR,d,20200318,000000,17508,17916,17048,17916,711137
GHEBAHAR,d,20200324,000000,18230,18230,17981,18230,446783
GHEBAHAR,d,20200325,000000,18454,18454,18383,18454,1022431
GHEBAHAR,d,20200328,000000,19351,19351,19069,19351,1009569
GHEBAHAR,d,20200329,000000,19910,19910,18928,19050,1519142
GHEBAHAR,d,20200330,000000,18928,19107,18928,18928,933844
GHEBAHAR,d,20200404,000000,18928,19399,18415,18905,2097076
GHEBAHAR,d,20200405,000000,19208,19614,18965,19614,1524149
GHEBAHAR,d,20200406,000000,19974,19974,19974,19974,810512
GHEBAHAR,d,20200407,000000,20460,20460,20460,20460,599532
GHEBAHAR,d,20200408,000000,21233,21233,21233,21233,1053925
GHEBAHAR,d,20200411,000000,21870,21870,21233,21870,2090386
GHEBAHAR,d,20200412,000000,22513,22513,21398,21862,2969824
GHEBAHAR,d,20200413,000000,21862,21862,21595,21595,1448305
GHEBAHAR,d,20200414,000000,20967,20967,20967,20967,456204
GHEBAHAR,d,20200415,000000,20645,21708,20645,20645,1999080
GHEBAHAR,d,20200418,000000,22055,22056,21768,22056,2028022
GHEBAHAR,d,20200419,000000,22713,22713,21390,21766,2208021
